Req ID,Requirement,Type,Project,Feature Area,Section,Status,Priority,Functional Requirements,Product Requirement
N-PR-02,"The three databases shall be related hierarchically: Projects → Focus Tasks → Pomodoro Sessions, so that data rolls up automatically from sessions to tasks to projects",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,1. Data Architecture,Draft,Must Have,"N-FR-01 (https://www.notion.so/N-FR-01-366da49ee112814db66aff0e5c424a3b?pvs=21), N-FR-02 (https://www.notion.so/N-FR-02-366da49ee11281e191aaf47160f34af8?pvs=21), N-FR-03 (https://www.notion.so/N-FR-03-366da49ee11281df9074f8601c2c161b?pvs=21)",
N-FR-17,"Focus Tasks DB — Days Overdue: Formula field. Calculated as today() minus Originally Scheduled, where Scheduled Date is before today and Status is not Done",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,,
N-FR-27,"The 'Reschedule to Today' button shall not modify the Originally Scheduled field, preserving the original date for overdue tracking",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-PR-04,"The Projects DB shall act as a top-level container for all work, allowing tasks and pomodoro stats to be viewed and compared at the project level",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Must Have,"N-FR-04 (https://www.notion.so/N-FR-04-366da49ee112817f9ca0d89c5da48d60?pvs=21), N-FR-05 (https://www.notion.so/N-FR-05-366da49ee11281bebc7afa72603890cf?pvs=21), N-FR-06 (https://www.notion.so/N-FR-06-366da49ee112817da63fe72b15425b27?pvs=21), N-FR-07 (https://www.notion.so/N-FR-07-366da49ee11281a499ecce64f88b21c1?pvs=21), N-FR-08 (https://www.notion.so/N-FR-08-366da49ee112814c8c1eeb32f4bc862d?pvs=21), N-FR-09 (https://www.notion.so/N-FR-09-366da49ee11281cb9f98d8c1f30bf27d?pvs=21), N-FR-10 (https://www.notion.so/N-FR-10-366da49ee11281f8a4d0c1d4c014f0f2?pvs=21), N-FR-11 (https://www.notion.so/N-FR-11-366da49ee1128156ab24c7ddce933992?pvs=21)",
N-FR-39,Pomodoro Sessions DB — Completed: Checkbox field. True if timer ran to completion; false if session was abandoned early.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-FR-20,Focus Tasks DB — Actual: Rollup field. Count of completed focus sessions linked to this task. Auto-calculated from Pomodoro Sessions DB.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-18,Focus Tasks DB — Priority: Select field. Options: P1 / P2 / P3,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Must Have,,
N-FR-22,Focus Tasks DB — Due Date: Date field. Hard deadline if applicable. Separate from Scheduled Date.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,3. Focus Tasks DB,Draft,Should Have,,
N-FR-32,Pomodoro Sessions DB — Project: Rollup from Task relation. Allows filtering sessions by project without extra steps.,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,4. Pomodoro Sessions DB,Draft,Must Have,,
N-FR-08,Projects DB — Total Pomodoros: Rollup field. Count of completed focus sessions rolled up from Focus Tasks,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),Notion Integration,2. Projects DB,Draft,Must Have,,
