Req ID,Requirement,Type,Project,Feature Area,Section,Status,Priority,Functional Requirements,Product Requirement
AL-FR-01,The system shall register the app as a macOS login item so it launches automatically when the user logs in,Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,AL-PR-01 (https://www.notion.so/AL-PR-01-367da49ee112815a860cfa982c4b7a9f?pvs=21)
AL-FR-02,"The system shall present a confirmation dialog when the user attempts to quit while a session is active, informing them the current session will be marked incomplete",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,AL-PR-02 (https://www.notion.so/AL-PR-02-367da49ee11281548d84c35094137b30?pvs=21)
AL-FR-03,"On launch, the system shall detect whether another instance is already running; if so, it shall bring the existing instance to the foreground and terminate the new one",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,AL-PR-03 (https://www.notion.so/AL-PR-03-367da49ee11281cc8e1cce9db0e3bab5?pvs=21)
AL-FR-04,"When the app quits — whether user-initiated, OS-initiated, or via crash — the system shall write current state to persistent storage and mark any in-progress session as incomplete",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,AL-PR-04 (https://www.notion.so/AL-PR-04-367da49ee1128180a48ed68fbfcce8b4?pvs=21)
AL-FR-05,"On launch following a crash or unexpected quit, the app shall not attempt to resume the interrupted session, instead initialising from the last state recorded in Notion",Functional Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,AL-PR-05 (https://www.notion.so/AL-PR-05-367da49ee11281d28b89d301a551832f?pvs=21)
AL-PR-01,The app shall launch automatically on macOS login,Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,
AL-PR-02,The app shall warn the user before quitting if a session is active,Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,
AL-PR-03,Only one instance of the app shall be permitted to run at any time,Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,
AL-PR-04,"The app shall save state on quit (intentional or otherwise), with any in-progress session marked as incomplete",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,
AL-PR-05,"On launch following a crash or unexpected quit, the app shall recover to the last state saved to Notion rather than attempting to resume any interrupted session",Product Requirement,Pomodoro Timer (https://www.notion.so/Pomodoro-Timer-366da49ee112802a9df7cc88b889bb39?pvs=21),App Lifecycle,11. App Lifecycle,Draft,Must Have,,
